PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30359609","Working Memory 2.0","Miller EK, Lundqvist M, Bastos AM.","Neuron. 2018 Oct 24;100(2):463-475. doi: 10.1016/j.neuron.2018.09.023.","Miller EK","Neuron","2018","2018/10/26","PMC8112390","NIHMS1506986","10.1016/j.neuron.2018.09.023"
"25251486","The cognitive neuroscience of working memory","D'Esposito M, Postle BR.","Annu Rev Psychol. 2015 Jan 3;66:115-42. doi: 10.1146/annurev-psych-010814-015031. Epub 2014 Sep 19.","D'Esposito M","Annu Rev Psychol","2015","2014/09/25","PMC4374359","NIHMS672171","10.1146/annurev-psych-010814-015031"
"21961947","Working memory: theories, models, and controversies","Baddeley A.","Annu Rev Psychol. 2012;63:1-29. doi: 10.1146/annurev-psych-120710-100422. Epub 2011 Sep 27.","Baddeley A","Annu Rev Psychol","2012","2011/10/04","","","10.1146/annurev-psych-120710-100422"
"20178752","Working memory","Baddeley A.","Curr Biol. 2010 Feb 23;20(4):R136-40. doi: 10.1016/j.cub.2009.12.014.","Baddeley A","Curr Biol","2010","2010/02/25","","","10.1016/j.cub.2009.12.014"
"22612437","Is working memory training effective? A meta-analytic review","Melby-Lervåg M, Hulme C.","Dev Psychol. 2013 Feb;49(2):270-91. doi: 10.1037/a0028228. Epub 2012 May 21.","Melby-Lervåg M","Dev Psychol","2013","2012/05/23","","","10.1037/a0028228"
"27191213","Working Memory: A Selective Review","Kent PL.","Appl Neuropsychol Child. 2016 Jul-Sep;5(3):163-72. doi: 10.1080/21622965.2016.1167491.","Kent PL","Appl Neuropsychol Child","2016","2016/05/19","","","10.1080/21622965.2016.1167491"
"29635694","Working memory consolidation: insights from studies on attention and working memory","Ricker TJ, Nieuwenstein MR, Bayliss DM, Barrouillet P.","Ann N Y Acad Sci. 2018 Jul;1424(1):8-18. doi: 10.1111/nyas.13633. Epub 2018 Apr 10.","Ricker TJ","Ann N Y Acad Sci","2018","2018/04/11","","","10.1111/nyas.13633"
"31059662","Affective Working Memory: An Integrative Psychological Construct","Mikels JA, Reuter-Lorenz PA.","Perspect Psychol Sci. 2019 Jul;14(4):543-559. doi: 10.1177/1745691619837597. Epub 2019 May 6.","Mikels JA","Perspect Psychol Sci","2019","2019/05/07","PMC6606331","NIHMS1522539","10.1177/1745691619837597"
"29745430","Working memory dependence of spatial contextual cueing for visual search","Pollmann S.","Br J Psychol. 2019 May;110(2):372-380. doi: 10.1111/bjop.12311. Epub 2018 May 10.","Pollmann S","Br J Psychol","2019","2018/05/11","","","10.1111/bjop.12311"
"9759336","Working memory","Baddeley A.","C R Acad Sci III. 1998 Feb-Mar;321(2-3):167-73. doi: 10.1016/s0764-4469(97)89817-4.","Baddeley A","C R Acad Sci III","1998","1998/10/06","","","10.1016/s0764-4469(97)89817-4"
"35115910","Cognitive Networks (Cognits) Process and Maintain Working Memory","Fuster JM.","Front Neural Circuits. 2022 Jan 18;15:790691. doi: 10.3389/fncir.2021.790691. eCollection 2021.","Fuster JM","Front Neural Circuits","2022","2022/02/04","PMC8803648","","10.3389/fncir.2021.790691"
"27191215","Working Memory in the Classroom: An Inside Look at the Central Executive","Barker LA.","Appl Neuropsychol Child. 2016 Jul-Sep;5(3):180-93. doi: 10.1080/21622965.2016.1167493.","Barker LA","Appl Neuropsychol Child","2016","2016/05/19","","","10.1080/21622965.2016.1167493"
"27191216","Working Memory Goes to School","Prince P, Gifford K.","Appl Neuropsychol Child. 2016 Jul-Sep;5(3):194-201. doi: 10.1080/21622965.2016.1167502.","Prince P","Appl Neuropsychol Child","2016","2016/05/19","","","10.1080/21622965.2016.1167502"
"35081841","The Enigma of Working Memory: Changing Views","Douglas Fields R.","Neuroscientist. 2022 Oct;28(5):420-424. doi: 10.1177/10738584211072747. Epub 2022 Jan 26.","Douglas Fields R","Neuroscientist","2022","2022/01/27","PMC9449432","","10.1177/10738584211072747"
"26637287","Working Memory: Maintenance, Updating, and the Realization of Intentions","Nyberg L, Eriksson J.","Cold Spring Harb Perspect Biol. 2015 Dec 4;8(2):a021816. doi: 10.1101/cshperspect.a021816.","Nyberg L","Cold Spring Harb Perspect Biol","2015","2015/12/06","PMC4743080","","10.1101/cshperspect.a021816"
"29741212","The removal of information from working memory","Lewis-Peacock JA, Kessler Y, Oberauer K.","Ann N Y Acad Sci. 2018 Jul;1424(1):33-44. doi: 10.1111/nyas.13714. Epub 2018 May 9.","Lewis-Peacock JA","Ann N Y Acad Sci","2018","2018/05/10","","","10.1111/nyas.13714"
"27677777","The Representational Basis of Working Memory","Nee DE, D'Esposito M.","Curr Top Behav Neurosci. 2018;37:213-230. doi: 10.1007/7854_2016_456.","Nee DE","Curr Top Behav Neurosci","2018","2016/09/29","","","10.1007/7854_2016_456"
"28481118","How working memory enables fluid reasoning","Dehn MJ.","Appl Neuropsychol Child. 2017 Jul-Sep;6(3):245-247. doi: 10.1080/21622965.2017.1317490. Epub 2017 May 8.","Dehn MJ","Appl Neuropsychol Child","2017","2017/05/09","","","10.1080/21622965.2017.1317490"
"31301953","Is Rehearsal an Effective Maintenance Strategy for Working Memory?","Oberauer K.","Trends Cogn Sci. 2019 Sep;23(9):798-809. doi: 10.1016/j.tics.2019.06.002. Epub 2019 Jul 10.","Oberauer K","Trends Cogn Sci","2019","2019/07/15","","","10.1016/j.tics.2019.06.002"
"29542133","What is attentional refreshing in working memory?","Camos V, Johnson M, Loaiza V, Portrat S, Souza A, Vergauwe E.","Ann N Y Acad Sci. 2018 Jul;1424(1):19-32. doi: 10.1111/nyas.13616. Epub 2018 Mar 15.","Camos V","Ann N Y Acad Sci","2018","2018/03/16","","","10.1111/nyas.13616"
"24603550","Cogmed working memory training product review","Roche JD, Johnson BD.","J Atten Disord. 2014 May;18(4):379-84. doi: 10.1177/1087054714524275. Epub 2014 Mar 6.","Roche JD","J Atten Disord","2014","2014/03/08","","","10.1177/1087054714524275"
"24459408","The ""working"" of working memory","Miller EK.","Dialogues Clin Neurosci. 2013 Dec;15(4):411-8. doi: 10.31887/DCNS.2013.15.4/emiller.","Miller EK","Dialogues Clin Neurosci","2013","2014/01/25","PMC3898679","","10.31887/DCNS.2013.15.4/emiller"
"24709596","Working models of working memory","Barak O, Tsodyks M.","Curr Opin Neurobiol. 2014 Apr;25:20-4. doi: 10.1016/j.conb.2013.10.008. Epub 2013 Dec 4.","Barak O","Curr Opin Neurobiol","2014","2014/04/09","","","10.1016/j.conb.2013.10.008"
"26259006","Computerized Working-Memory Training as a Candidate Adjunctive Treatment for Addiction","Bickel WK, Moody L, Quisenberry A.","Alcohol Res. 2014;36(1):123-6.","Bickel WK","Alcohol Res","2014","2015/08/11","PMC4432851","",""
"27474138","Working Memory Training Does Not Improve Performance on Measures of Intelligence or Other Measures of ""Far Transfer"": Evidence From a Meta-Analytic Review","Melby-Lervåg M, Redick TS, Hulme C.","Perspect Psychol Sci. 2016 Jul;11(4):512-34. doi: 10.1177/1745691616635612.","Melby-Lervåg M","Perspect Psychol Sci","2016","2016/07/31","PMC4968033","NIHMS758206","10.1177/1745691616635612"
"28756199","Consciousness and working memory: Current trends and research perspectives","Velichkovsky BB.","Conscious Cogn. 2017 Oct;55:35-45. doi: 10.1016/j.concog.2017.07.005. Epub 2017 Jul 27.","Velichkovsky BB","Conscious Cogn","2017","2017/07/31","","","10.1016/j.concog.2017.07.005"
"33621511","Working Memory: How Much Is It Used in Natural Behavior?","Williams J, Störmer VS.","Curr Biol. 2021 Feb 22;31(4):R205-R206. doi: 10.1016/j.cub.2020.11.072.","Williams J","Curr Biol","2021","2021/02/23","","","10.1016/j.cub.2020.11.072"
"36385131","Working memory capacity estimates moderate value learning for outcome-irrelevant features","Ben-Artzi I, Luria R, Shahar N.","Sci Rep. 2022 Nov 16;12(1):19677. doi: 10.1038/s41598-022-21832-x.","Ben-Artzi I","Sci Rep","2022","2022/11/17","PMC9669000","","10.1038/s41598-022-21832-x"
"17519368","The working memory networks of the human brain","Linden DE.","Neuroscientist. 2007 Jun;13(3):257-67. doi: 10.1177/1073858406298480.","Linden DE","Neuroscientist","2007","2007/05/24","","","10.1177/1073858406298480"
"36166306","Considering Readout to Understand Working Memory","Myers NE.","J Cogn Neurosci. 2022 Dec 1;35(1):11-13. doi: 10.1162/jocn_a_01921.","Myers NE","J Cogn Neurosci","2022","2022/09/27","","","10.1162/jocn_a_01921"
"36214597","Mechanisms for maintaining information in working memory","Stern CE, Hasselmo ME.","Cogn Neurosci. 2022 Jul;13(3-4):218-219. doi: 10.1080/17588928.2022.2131750. Epub 2022 Oct 10.","Stern CE","Cogn Neurosci","2022","2022/10/10","","","10.1080/17588928.2022.2131750"
"7708289","Working memory and prefrontal cortex","Funahashi S, Kubota K.","Neurosci Res. 1994 Nov;21(1):1-11. doi: 10.1016/0168-0102(94)90063-9.","Funahashi S","Neurosci Res","1994","1994/11/01","","","10.1016/0168-0102(94)90063-9"
"19360261","Phonological working memory and its relationship with language development in children","Rodrigues A, Befi-Lopes DM.","Pro Fono. 2009 Jan-Mar;21(1):63-8. doi: 10.1590/s0104-56872009000100011.","Rodrigues A","Pro Fono","2009","2009/04/11","","","10.1590/s0104-56872009000100011"
"35115675","A model of working memory for latent representations","Hedayati S, O'Donnell RE, Wyble B.","Nat Hum Behav. 2022 May;6(5):709-719. doi: 10.1038/s41562-021-01264-9. Epub 2022 Feb 3.","Hedayati S","Nat Hum Behav","2022","2022/02/04","","","10.1038/s41562-021-01264-9"
"22180053","Working memory, long-term memory, and medial temporal lobe function","Jeneson A, Squire LR.","Learn Mem. 2011 Dec 16;19(1):15-25. doi: 10.1101/lm.024018.111. Print 2012 Jan.","Jeneson A","Learn Mem","2011","2011/12/20","PMC3246590","","10.1101/lm.024018.111"
"11301522","Verbal working memory and sentence comprehension","Caplan D, Waters GS.","Behav Brain Sci. 1999 Feb;22(1):77-94; discussion 95-126. doi: 10.1017/s0140525x99001788.","Caplan D","Behav Brain Sci","1999","2001/04/17","","","10.1017/s0140525x99001788"
"30295318","New perspectives on binding in visual working memory","Schneegans S, Bays PM.","Br J Psychol. 2019 May;110(2):207-244. doi: 10.1111/bjop.12345. Epub 2018 Oct 8.","Schneegans S","Br J Psychol","2019","2018/10/09","","","10.1111/bjop.12345"
"24569831","Changing concepts of working memory","Ma WJ, Husain M, Bays PM.","Nat Neurosci. 2014 Mar;17(3):347-56. doi: 10.1038/nn.3655. Epub 2014 Feb 25.","Ma WJ","Nat Neurosci","2014","2014/02/27","PMC4159388","NIHMS623010","10.1038/nn.3655"
"32729402","Working Memory Performance Under Stress","Luers P, Schloeffel M, Prüssner JC.","Exp Psychol. 2020 Mar;67(2):132-139. doi: 10.1027/1618-3169/a000484.","Luers P","Exp Psychol","2020","2020/07/31","","","10.1027/1618-3169/a000484"
"26950009","What limits working memory capacity?","Oberauer K, Farrell S, Jarrold C, Lewandowsky S.","Psychol Bull. 2016 Jul;142(7):758-99. doi: 10.1037/bul0000046. Epub 2016 Mar 7.","Oberauer K","Psychol Bull","2016","2016/03/08","","","10.1037/bul0000046"
"29741275","Attention in working memory: attention is needed but it yearns to be free","Rhodes S, Cowan N.","Ann N Y Acad Sci. 2018 Jul;1424(1):52-63. doi: 10.1111/nyas.13652. Epub 2018 May 9.","Rhodes S","Ann N Y Acad Sci","2018","2018/05/10","PMC6226361","NIHMS940814","10.1111/nyas.13652"
"36138300","Pupillometry signatures of sustained attention and working memory","Keene PA, deBettencourt MT, Awh E, Vogel EK.","Atten Percept Psychophys. 2022 Nov;84(8):2472-2482. doi: 10.3758/s13414-022-02557-5. Epub 2022 Sep 22.","Keene PA","Atten Percept Psychophys","2022","2022/09/22","","","10.3758/s13414-022-02557-5"
"34592108","Theta-Rhythmic Oscillation of Working Memory Performance","Pomper U, Ansorge U.","Psychol Sci. 2021 Nov;32(11):1801-1810. doi: 10.1177/09567976211013045. Epub 2021 Sep 30.","Pomper U","Psychol Sci","2021","2021/09/30","","","10.1177/09567976211013045"
"15129848","Working memory and dopamine: clinical and experimental clues","Marié RM, Defer GL.","Curr Opin Neurol. 2003 Dec;16 Suppl 2:S29-35. doi: 10.1097/00019052-200312002-00006.","Marié RM","Curr Opin Neurol","2003","2004/05/08","","","10.1097/00019052-200312002-00006"
"21295047","Visual working memory as visual attention sustained internally over time","Chun MM.","Neuropsychologia. 2011 May;49(6):1407-9. doi: 10.1016/j.neuropsychologia.2011.01.029. Epub 2011 Feb 2.","Chun MM","Neuropsychologia","2011","2011/02/08","","","10.1016/j.neuropsychologia.2011.01.029"
"35189162","Effects of perceptual and working memory load on brain responses to task-irrelevant stimuli: Review and implications for future research","Brockhoff L, Schindler S, Bruchmann M, Straube T.","Neurosci Biobehav Rev. 2022 Apr;135:104580. doi: 10.1016/j.neubiorev.2022.104580. Epub 2022 Feb 19.","Brockhoff L","Neurosci Biobehav Rev","2022","2022/02/21","","","10.1016/j.neubiorev.2022.104580"
"15989386","Working memory in aphasia: theory, measures, and clinical implications","Wright HH, Shisler RJ.","Am J Speech Lang Pathol. 2005 May;14(2):107-18. doi: 10.1044/1058-0360(2005/012).","Wright HH","Am J Speech Lang Pathol","2005","2005/07/02","","","10.1044/1058-0360(2005/012)"
"16497538","Visual working memory depends on attentional filtering","Cowan N, Morey CC.","Trends Cogn Sci. 2006 Apr;10(4):139-41. doi: 10.1016/j.tics.2006.02.001. Epub 2006 Feb 23.","Cowan N","Trends Cogn Sci","2006","2006/02/25","PMC2635910","NIHMS84221","10.1016/j.tics.2006.02.001"
"35364511","Motivation improves working memory by two processes: Prioritisation and retrieval thresholds","Grogan JP, Randhawa G, Kim M, Manohar SG.","Cogn Psychol. 2022 Jun;135:101472. doi: 10.1016/j.cogpsych.2022.101472. Epub 2022 Mar 29.","Grogan JP","Cogn Psychol","2022","2022/04/01","","","10.1016/j.cogpsych.2022.101472"
"30923479","Graded Memory: A Cognitive Category to Replace Spatial Sustained Attention and Working Memory ","Libedinsky CD, Fernandez PF.","Yale J Biol Med. 2019 Mar 25;92(1):121-125. eCollection 2019 Mar.","Libedinsky CD","Yale J Biol Med","2019","2019/03/30","PMC6430177","",""
"24213250","Effects and mechanisms of working memory training: a review","von Bastian CC, Oberauer K.","Psychol Res. 2014 Nov;78(6):803-20. doi: 10.1007/s00426-013-0524-6. Epub 2013 Nov 10.","von Bastian CC","Psychol Res","2014","2013/11/12","","","10.1007/s00426-013-0524-6"
"24366687","Working memory and second language comprehension and production: a meta-analysis","Linck JA, Osthus P, Koeth JT, Bunting MF.","Psychon Bull Rev. 2014 Aug;21(4):861-83. doi: 10.3758/s13423-013-0565-2.","Linck JA","Psychon Bull Rev","2014","2013/12/25","","","10.3758/s13423-013-0565-2"
"34157258","Looking ahead in working memory to guide sequential behaviour","van Ede F, Deden J, Nobre AC.","Curr Biol. 2021 Jun 21;31(12):R779-R780. doi: 10.1016/j.cub.2021.04.063.","van Ede F","Curr Biol","2021","2021/06/22","PMC8231093","","10.1016/j.cub.2021.04.063"
"20006645","Control mechanisms in working memory: a possible function of EEG theta oscillations","Sauseng P, Griesmayr B, Freunberger R, Klimesch W.","Neurosci Biobehav Rev. 2010 Jun;34(7):1015-22. doi: 10.1016/j.neubiorev.2009.12.006. Epub 2009 Dec 16.","Sauseng P","Neurosci Biobehav Rev","2010","2009/12/17","","","10.1016/j.neubiorev.2009.12.006"
"35143251","Action errors impair active working memory maintenance","Wessel JR, Jiang J, Stolley JJ.","J Exp Psychol Gen. 2022 Jun;151(6):1325-1340. doi: 10.1037/xge0001142. Epub 2022 Feb 10.","Wessel JR","J Exp Psychol Gen","2022","2022/02/10","PMC9237091","NIHMS1741622","10.1037/xge0001142"
"9759337","The relationships between working memory and long-term memory","van der Linden M.","C R Acad Sci III. 1998 Feb-Mar;321(2-3):175-7. doi: 10.1016/s0764-4469(97)89818-6.","van der Linden M","C R Acad Sci III","1998","1998/10/06","","","10.1016/s0764-4469(97)89818-6"
"30058444","Working Memory-Driven Attention in Real-World Search","Jung S, Yoon Y, Han SW.","Perception. 2018 Sep;47(9):966-975. doi: 10.1177/0301006618791688. Epub 2018 Jul 29.","Jung S","Perception","2018","2018/07/31","","","10.1177/0301006618791688"
"35970972","Geometrical representation of serial order in working memory","Wise TB, Barack DL, Templer VL.","Learn Behav. 2022 Dec;50(4):443-444. doi: 10.3758/s13420-022-00541-5. Epub 2022 Aug 15.","Wise TB","Learn Behav","2022","2022/08/15","","","10.3758/s13420-022-00541-5"
"30306828","Visuospatial working memory, auditory discrimination, and attention","Shipstead Z, Martin JD, Nespodzany A.","Memory. 2019 Apr;27(4):568-574. doi: 10.1080/09658211.2018.1532010. Epub 2018 Oct 11.","Shipstead Z","Memory","2019","2018/10/12","","","10.1080/09658211.2018.1532010"
"35604357","Planning the Potential Future during Multi-item Visual Working Memory","Nasrawi R, van Ede F.","J Cogn Neurosci. 2022 Jul 1;34(8):1534-1546. doi: 10.1162/jocn_a_01875.","Nasrawi R","J Cogn Neurosci","2022","2022/05/23","","","10.1162/jocn_a_01875"
"34145889","Altered Subprocesses of Working Memory in Patients with Fibromyalgia: An Event-Related Potential Study Using N-Back Task","Mercado F, Ferrera D, Fernandes-Magalhaes R, Peláez I, Barjola P.","Pain Med. 2022 Mar 2;23(3):475-487. doi: 10.1093/pm/pnab190.","Mercado F","Pain Med","2022","2021/06/19","","","10.1093/pm/pnab190"
"31907852","Distraction biases working memory for faces","Mallett R, Mummaneni A, Lewis-Peacock JA.","Psychon Bull Rev. 2020 Apr;27(2):350-356. doi: 10.3758/s13423-019-01707-5.","Mallett R","Psychon Bull Rev","2020","2020/01/08","PMC7101264","NIHMS1548322","10.3758/s13423-019-01707-5"
"29407245","Working memory cannot regulate overt emotional capture","Wingert KM, Blais C, Ball BH, Brewer GA.","Acta Psychol (Amst). 2018 Apr;185:52-64. doi: 10.1016/j.actpsy.2017.12.007. Epub 2018 Feb 6.","Wingert KM","Acta Psychol (Amst)","2018","2018/02/07","","","10.1016/j.actpsy.2017.12.007"
"26054793","How is working memory content consciously experienced? The 'conscious copy' model of WM introspection","Jacobs C, Silvanto J.","Neurosci Biobehav Rev. 2015 Aug;55:510-9. doi: 10.1016/j.neubiorev.2015.06.003. Epub 2015 Jun 6.","Jacobs C","Neurosci Biobehav Rev","2015","2015/06/10","","","10.1016/j.neubiorev.2015.06.003"
"22013901","Reversing age-related decline in working memory","Mendelsohn AR, Larrick JW.","Rejuvenation Res. 2011 Oct;14(5):557-9. doi: 10.1089/rej.2011.1247.","Mendelsohn AR","Rejuvenation Res","2011","2011/10/22","","","10.1089/rej.2011.1247"
"29345539","Working Memory Updating: Load and Binding","Palladino P, Artuso C.","J Gen Psychol. 2018 Jan-Mar;145(1):45-63. doi: 10.1080/00221309.2017.1415083. Epub 2018 Jan 18.","Palladino P","J Gen Psychol","2018","2018/01/19","","","10.1080/00221309.2017.1415083"
"28454719","Prioritizing Information during Working Memory: Beyond Sustained Internal Attention","Myers NE, Stokes MG, Nobre AC.","Trends Cogn Sci. 2017 Jun;21(6):449-461. doi: 10.1016/j.tics.2017.03.010. Epub 2017 Apr 25.","Myers NE","Trends Cogn Sci","2017","2017/04/30","PMC7220802","EMS86397","10.1016/j.tics.2017.03.010"
"11602036","The pharmacology of human working memory","Ellis KA, Nathan PJ.","Int J Neuropsychopharmacol. 2001 Sep;4(3):299-313. doi: 10.1017/S1461145701002541.","Ellis KA","Int J Neuropsychopharmacol","2001","2001/10/17","","","10.1017/S1461145701002541"
"30503618","Nonverbal Working Memory for Novel Images in Rhesus Monkeys","Brady RJ, Hampton RR.","Curr Biol. 2018 Dec 17;28(24):3903-3910.e3. doi: 10.1016/j.cub.2018.10.025. Epub 2018 Nov 29.","Brady RJ","Curr Biol","2018","2018/12/04","PMC6501570","NIHMS1522645","10.1016/j.cub.2018.10.025"
"15929495","Working memory and learning in early Alzheimer's disease","Germano C, Kinsella GJ.","Neuropsychol Rev. 2005 Mar;15(1):1-10. doi: 10.1007/s11065-005-3583-7.","Germano C","Neuropsychol Rev","2005","2005/06/03","","","10.1007/s11065-005-3583-7"
"30304919","Can we distinguish three maintenance processes in working memory?","Morey CC, Cowan N.","Ann N Y Acad Sci. 2018 Jul 26;1424(1):45-51. doi: 10.1111/nyas.13925.","Morey CC","Ann N Y Acad Sci","2018","2018/10/12","PMC6183061","NIHMS976284","10.1111/nyas.13925"
"30497917","Development of working memory in the male adolescent rat","Kirschmann EK, Pollock MW, Nagarajan V, Torregrossa MM.","Dev Cogn Neurosci. 2019 Jun;37:100601. doi: 10.1016/j.dcn.2018.11.003. Epub 2018 Nov 22.","Kirschmann EK","Dev Cogn Neurosci","2019","2018/12/01","PMC6531360","NIHMS1018893","10.1016/j.dcn.2018.11.003"
"21665518","Different states in visual working memory: when it guides attention and when it does not","Olivers CN, Peters J, Houtkamp R, Roelfsema PR.","Trends Cogn Sci. 2011 Jul;15(7):327-34. doi: 10.1016/j.tics.2011.05.004. Epub 2011 Jun 12.","Olivers CN","Trends Cogn Sci","2011","2011/06/14","","","10.1016/j.tics.2011.05.004"
"30103346","Emotional system in complex cognitive activities of working memory: A literature review of its role","Lopez-Franco A, Alanis AY, Lopez-Franco C, Arana-Daniel N, Lopez-Franco M.","J Integr Neurosci. 2018;17(3-4):679-693. doi: 10.3233/JIN-180095.","Lopez-Franco A","J Integr Neurosci","2018","2018/08/15","","","10.3233/JIN-180095"
"20157852","Differential effects of ecstasy on short-term and working memory: a meta-analysis","Nulsen CE, Fox AM, Hammond GR.","Neuropsychol Rev. 2010 Mar;20(1):21-32. doi: 10.1007/s11065-009-9124-z. Epub 2010 Feb 16.","Nulsen CE","Neuropsychol Rev","2010","2010/02/17","","","10.1007/s11065-009-9124-z"
"31390931","Working memory predictors of written mathematics in 7- to 8-year-old children","Allen K, Giofrè D, Higgins S, Adams J.","Q J Exp Psychol (Hove). 2020 Feb;73(2):239-248. doi: 10.1177/1747021819871243. Epub 2019 Sep 5.","Allen K","Q J Exp Psychol (Hove)","2020","2019/08/09","","","10.1177/1747021819871243"
"35777189","Swap errors in visual working memory are fully explained by cue-feature variability","McMaster JMV, Tomić I, Schneegans S, Bays PM.","Cogn Psychol. 2022 Sep;137:101493. doi: 10.1016/j.cogpsych.2022.101493. Epub 2022 Jun 28.","McMaster JMV","Cogn Psychol","2022","2022/07/01","PMC7613075","EMS150037","10.1016/j.cogpsych.2022.101493"
"32601295","Three visual working memory representations simultaneously control attention","King MJ, Macnamara BN.","Sci Rep. 2020 Jun 29;10(1):10504. doi: 10.1038/s41598-020-67455-y.","King MJ","Sci Rep","2020","2020/07/01","PMC7324568","","10.1038/s41598-020-67455-y"
"30103347","Working-memory evaluation based on EEG signals during n-back tasks","Yang CY, Huang CK.","J Integr Neurosci. 2018;17(3-4):695-707. doi: 10.3233/JIN-180096.","Yang CY","J Integr Neurosci","2018","2018/08/15","","","10.3233/JIN-180096"
"21036537","A neurodynamical model for working memory","Pascanu R, Jaeger H.","Neural Netw. 2011 Mar;24(2):199-207. doi: 10.1016/j.neunet.2010.10.003. Epub 2010 Oct 16.","Pascanu R","Neural Netw","2011","2010/11/02","","","10.1016/j.neunet.2010.10.003"
"12810483","Working memory in the primary visual cortex","Super H.","Arch Neurol. 2003 Jun;60(6):809-12. doi: 10.1001/archneur.60.6.809.","Super H","Arch Neurol","2003","2003/06/18","","","10.1001/archneur.60.6.809"
"16324792","Interactions between attention and working memory","Awh E, Vogel EK, Oh SH.","Neuroscience. 2006 Apr 28;139(1):201-8. doi: 10.1016/j.neuroscience.2005.08.023. Epub 2005 Dec 1.","Awh E","Neuroscience","2006","2005/12/06","","","10.1016/j.neuroscience.2005.08.023"
"25070269","Reappraising the relationship between working memory and conscious awareness","Soto D, Silvanto J.","Trends Cogn Sci. 2014 Oct;18(10):520-5. doi: 10.1016/j.tics.2014.06.005. Epub 2014 Jul 25.","Soto D","Trends Cogn Sci","2014","2014/07/30","","","10.1016/j.tics.2014.06.005"
"14523382","Working memory: looking back and looking forward","Baddeley A.","Nat Rev Neurosci. 2003 Oct;4(10):829-39. doi: 10.1038/nrn1201.","Baddeley A","Nat Rev Neurosci","2003","2003/10/03","","","10.1038/nrn1201"
"17786815","Cerebellar contributions to verbal working memory: beyond cognitive theory","Ben-Yehudah G, Guediche S, Fiez JA.","Cerebellum. 2007;6(3):193-201. doi: 10.1080/14734220701286195.","Ben-Yehudah G","Cerebellum","2007","2007/09/06","","","10.1080/14734220701286195"
"31869765","Working memory develops at a similar rate across diverse stimuli","Mathy F, Friedman O.","J Exp Child Psychol. 2020 Mar;191:104735. doi: 10.1016/j.jecp.2019.104735. Epub 2019 Dec 20.","Mathy F","J Exp Child Psychol","2020","2019/12/24","","","10.1016/j.jecp.2019.104735"
"31073790","The effect of working memory maintenance on long-term memory","Hartshorne JK, Makovski T.","Mem Cognit. 2019 May;47(4):749-763. doi: 10.3758/s13421-019-00908-6.","Hartshorne JK","Mem Cognit","2019","2019/05/11","PMC6663308","NIHMS1529031","10.3758/s13421-019-00908-6"
"17362143","Substantive validity of working memory measures in major cognitive functioning test batteries for children","Leffard SA, Miller JA, Bernstein J, DeMann JJ, Mangis HA, McCoy EL.","Appl Neuropsychol. 2006;13(4):230-41. doi: 10.1207/s15324826an1304_4.","Leffard SA","Appl Neuropsychol","2006","2007/03/17","","","10.1207/s15324826an1304_4"
"25557544","Refreshing memory traces: thinking of an item improves retrieval from visual working memory","Souza AS, Rerko L, Oberauer K.","Ann N Y Acad Sci. 2015 Mar;1339:20-31. doi: 10.1111/nyas.12603. Epub 2014 Dec 30.","Souza AS","Ann N Y Acad Sci","2015","2015/01/06","","","10.1111/nyas.12603"
"35952863","EEG correlates of neutral working memory training induce attentional control improvements in test anxiety","Wei H, Beuckelaer A, Zhou R.","Biol Psychol. 2022 Oct;174:108407. doi: 10.1016/j.biopsycho.2022.108407. Epub 2022 Aug 8.","Wei H","Biol Psychol","2022","2022/08/11","","","10.1016/j.biopsycho.2022.108407"
"35083960","Stable decoding of working memory load through frequency bands","Duleme M, Perrey S, Dray G.","Cogn Neurosci. 2023 Jan;14(1):1-14. doi: 10.1080/17588928.2022.2026312. Epub 2022 Jan 27.","Duleme M","Cogn Neurosci","2023","2022/01/27","","","10.1080/17588928.2022.2026312"
"18044665","Assessment of working memory performance in self-ordered selection tests","Gillett R.","Cortex. 2007 Nov;43(8):1047-56. doi: 10.1016/s0010-9452(08)70702-0.","Gillett R","Cortex","2007","2007/11/30","","","10.1016/s0010-9452(08)70702-0"
"29446401","Working memory freed from the past","Busse L.","Nature. 2018 Feb 15;554(7692):306-307. doi: 10.1038/d41586-018-01418-2.","Busse L","Nature","2018","2018/02/16","","","10.1038/d41586-018-01418-2"
"28774684","Reevaluating the Sensory Account of Visual Working Memory Storage","Xu Y.","Trends Cogn Sci. 2017 Oct;21(10):794-815. doi: 10.1016/j.tics.2017.06.013. Epub 2017 Jul 31.","Xu Y","Trends Cogn Sci","2017","2017/08/05","","","10.1016/j.tics.2017.06.013"
"25454354","Oscillatory multiplexing of neural population codes for interval timing and working memory","Gu BM, van Rijn H, Meck WH.","Neurosci Biobehav Rev. 2015 Jan;48:160-85. doi: 10.1016/j.neubiorev.2014.10.008. Epub 2014 Oct 18.","Gu BM","Neurosci Biobehav Rev","2015","2014/12/03","","","10.1016/j.neubiorev.2014.10.008"
"36520151","Acute stress and human spatial working memory strategy use","Husa RA, Buchanan TW, Kirchhoff BA.","Stress. 2023 Jan;26(1):15-20. doi: 10.1080/10253890.2022.2155046.","Husa RA","Stress","2023","2022/12/15","","","10.1080/10253890.2022.2155046"
